Title,Artist,Featuring,Featured_Artist
Tik Tok,Kesha,0,Kesha
Need You Now,Lady Antebellum,0,Lady Antebellum
"Hey, Soul Sister",Train,0,Train
California Gurls,Katy Perry ,1, Snoop Dogg
OMG,Usher ,1, will.i.am
Airplanes,B.o.B ,1, Hayley Williams
Love the Way You Lie,Eminem ,1, Rihanna
Bad Romance,Lady Gaga,0,Lady Gaga
Dynamite,Taio Cruz,0,Taio Cruz
Break Your Heart,Taio Cruz ,1, Ludacris
Nothin' on You,B.o.B ,1, Bruno Mars
I Like It,Enrique Iglesias ,1, Pitbull
BedRock,Young Money ,1, Lloyd
In My Head,Jason Derulo,0,Jason Derulo
Rude Boy,Rihanna,0,Rihanna
Telephone,Lady Gaga ,1, Beyoncé
Teenage Dream,Katy Perry,0,Katy Perry
Just the Way You Are,Bruno Mars,0,Bruno Mars
Cooler Than Me,Mike Posner,0,Mike Posner
Imma Be,The Black Eyed Peas,0,The Black Eyed Peas
Empire State of Mind,Jay-Z ,1, Alicia Keys
DJ Got Us Fallin' in Love,Usher ,1, Pitbull
Billionaire,Travie McCoy ,1, Bruno Mars
Not Afraid,Eminem,0,Eminem
Replay,Iyaz,0,Iyaz
Sexy Bitch,David Guetta ,1, Akon
Breakeven,The Script,0,The Script
Your Love Is My Drug,Kesha,0,Kesha
I Gotta Feeling,The Black Eyed Peas,0,The Black Eyed Peas
Fireflies,Owl City,0,Owl City
Say Aah,Trey Songz ,1, Fabolous
Find Your Love,Drake,0,Drake
Alejandro,Lady Gaga,0,Lady Gaga
Ridin' Solo,Jason Derulo,0,Jason Derulo
Just a Dream,Nelly,0,Nelly
How Low,Ludacris,0,Ludacris
Like a G6,Far East Movement ,1, The Cataracs and Dev
Carry Out,Timbaland ,1, Justin Timberlake
Haven't Met You Yet,Michael Bublé,0,Michael Bublé
Club Can't Handle Me,Flo Rida ,1, David Guetta
Down,Jay Sean ,1, Lil Wayne
Bulletproof,La Roux,0,La Roux
Whatcha Say,Jason Derulo,0,Jason Derulo
Baby,Justin Bieber ,1, Ludacris
Whataya Want from Me,Adam Lambert,0,Adam Lambert
Mine,Taylor Swift,0,Taylor Swift
Only Girl (In the World),Rihanna,0,Rihanna
Live Like We're Dying,Kris Allen,0,Kris Allen
Hard,Rihanna ,1, Jeezy
Young Forever,Jay-Z ,1, Mr Hudson
Blah Blah Blah,Kesha ,1, 3OH!3
Bottoms Up,Trey Songz ,1, Nicki Minaj
Do You Remember,Jay Sean ,1, Sean Paul and Lil Jon
All the Right Moves,OneRepublic,0,OneRepublic
According to You,Orianthi,0,Orianthi
My Chick Bad,Ludacris ,1, Nicki Minaj
You Belong with Me,Taylor Swift,0,Taylor Swift
Meet Me Halfway,The Black Eyed Peas,0,The Black Eyed Peas
Take It Off,Kesha,0,Kesha
Over,Drake,0,Drake
Animal,Neon Trees,0,Neon Trees
Misery,Maroon 5,0,Maroon 5
Magic,B.o.B ,1, Rivers Cuomo
Paparazzi,Lady Gaga,0,Lady Gaga
Tie Me Down,New Boyz ,1, Ray J
Your Love,Nicki Minaj,0,Nicki Minaj
Party in the U.S.A.,Miley Cyrus,0,Miley Cyrus
Deuces,Chris Brown ,1, Tyga and Kevin McCall
3,Britney Spears,0,Britney Spears
Impossible,Shontelle,0,Shontelle
Forever,Drake ,1," Kanye West, Lil Wayne and Eminem"
Two Is Better Than One,Boys Like Girls ,1, Taylor Swift
My First Kiss,3OH!3 ,1, Kesha
Already Gone,Kelly Clarkson,0,Kelly Clarkson
Rock That Body,The Black Eyed Peas,0,The Black Eyed Peas
Secrets,OneRepublic,0,OneRepublic
Naturally,Selena Gomez & the Scene,0,Selena Gomez & the Scene
Un-Thinkable (I'm Ready),Alicia Keys,0,Alicia Keys
All I Do Is Win,DJ Khaled ,1," T-Pain, Ludacris, Snoop Dogg and Rick Ross"
I Made It (Cash Money Heroes),Kevin Rudolf ,1," Birdman, Jay Sean and Lil Wayne"
Stuck Like Glue,Sugarland,0,Sugarland
Hey Daddy (Daddy's Home),Usher ,1, Plies
There Goes My Baby,Usher,0,Usher
Today Was a Fairytale,Taylor Swift,0,Taylor Swift
Say Something,Timbaland ,1, Drake
Sweet Dreams,Beyoncé,0,Beyoncé
